frameworkName,ControlID,ControlName
cis-eks-t1.2.0,C-0078,Images from allowed registry
cis-eks-t1.2.0,C-0167,Ensure that the --kubeconfig kubelet.conf file ownership is set to root:root
cis-eks-t1.2.0,C-0171,If the kubelet config.yaml configuration file is being used validate file ownership is set to root:root
cis-eks-t1.2.0,C-0172,Ensure that the --anonymous-auth argument is set to false
cis-eks-t1.2.0,C-0173,Ensure that the --authorization-mode argument is not set to AlwaysAllow
cis-eks-t1.2.0,C-0174,Ensure that the --client-ca-file argument is set as appropriate
cis-eks-t1.2.0,C-0175,Verify that the --read-only-port argument is set to 0
cis-eks-t1.2.0,C-0176,Ensure that the --streaming-connection-idle-timeout argument is not set to 0
cis-eks-t1.2.0,C-0177,Ensure that the --protect-kernel-defaults argument is set to true
cis-eks-t1.2.0,C-0178,Ensure that the --make-iptables-util-chains argument is set to true
cis-eks-t1.2.0,C-0179,Ensure that the --hostname-override argument is not set
cis-eks-t1.2.0,C-0180,Ensure that the --event-qps argument is set to 0 or a level which ensures appropriate event capture
cis-eks-t1.2.0,C-0181,Ensure that the --tls-cert-file and --tls-private-key-file arguments are set as appropriate
cis-eks-t1.2.0,C-0183,Verify that the RotateKubeletServerCertificate argument is set to true
cis-eks-t1.2.0,C-0185,Ensure that the cluster-admin role is only used where required
cis-eks-t1.2.0,C-0186,Minimize access to secrets
cis-eks-t1.2.0,C-0187,Minimize wildcard use in Roles and ClusterRoles
cis-eks-t1.2.0,C-0188,Minimize access to create pods
cis-eks-t1.2.0,C-0189,Ensure that default service accounts are not actively used
cis-eks-t1.2.0,C-0190,Ensure that Service Account Tokens are only mounted where necessary
cis-eks-t1.2.0,C-0191,"Limit use of the Bind, Impersonate and Escalate permissions in the Kubernetes cluster"
cis-eks-t1.2.0,C-0205,Ensure that the CNI in use supports Network Policies
cis-eks-t1.2.0,C-0206,Ensure that all Namespaces have Network Policies defined
cis-eks-t1.2.0,C-0207,Prefer using secrets as files over secrets as environment variables
cis-eks-t1.2.0,C-0209,Create administrative boundaries between resources using namespaces
cis-eks-t1.2.0,C-0211,Apply Security Context to Your Pods and Containers
cis-eks-t1.2.0,C-0212,The default namespace should not be used
cis-eks-t1.2.0,C-0213,Minimize the admission of privileged containers
cis-eks-t1.2.0,C-0214,Minimize the admission of containers wishing to share the host process ID namespace
cis-eks-t1.2.0,C-0215,Minimize the admission of containers wishing to share the host IPC namespace
cis-eks-t1.2.0,C-0216,Minimize the admission of containers wishing to share the host network namespace
cis-eks-t1.2.0,C-0217,Minimize the admission of containers with allowPrivilegeEscalation
cis-eks-t1.2.0,C-0218,Minimize the admission of root containers
cis-eks-t1.2.0,C-0219,Minimize the admission of containers with added capabilities
cis-eks-t1.2.0,C-0220,Minimize the admission of containers with capabilities assigned
cis-eks-t1.2.0,C-0221,Ensure Image Vulnerability Scanning using Amazon ECR image scanning or a third party provider
cis-eks-t1.2.0,C-0223,Minimize cluster access to read-only for Amazon ECR
cis-eks-t1.2.0,C-0225,Prefer using dedicated EKS Service Accounts
cis-eks-t1.2.0,C-0226,Prefer using a container-optimized OS when possible
cis-eks-t1.2.0,C-0227,Restrict Access to the Control Plane Endpoint
cis-eks-t1.2.0,C-0228,Ensure clusters are created with Private Endpoint Enabled and Public Access Disabled
cis-eks-t1.2.0,C-0229,Ensure clusters are created with Private Nodes
cis-eks-t1.2.0,C-0230,Ensure Network Policy is Enabled and set as appropriate
cis-eks-t1.2.0,C-0231,Encrypt traffic to HTTPS load balancers with TLS certificates
cis-eks-t1.2.0,C-0232,Manage Kubernetes RBAC users with AWS IAM Authenticator for Kubernetes or Upgrade to AWS CLI v1.16.156
cis-eks-t1.2.0,C-0233,Consider Fargate for running untrusted workloads
cis-eks-t1.2.0,C-0234,Consider external secret storage
cis-eks-t1.2.0,C-0235,Ensure that the kubelet configuration file has permissions set to 644 or more restrictive
cis-eks-t1.2.0,C-0238,Ensure that the kubeconfig file permissions are set to 644 or more restrictive
NSA,C-0002,Exec into container
NSA,C-0005,API server insecure port is enabled
NSA,C-0009,Resource limits
NSA,C-0012,Applications credentials in configuration files
NSA,C-0013,Non-root containers
NSA,C-0016,Allow privilege escalation
NSA,C-0017,Immutable container filesystem
NSA,C-0030,Ingress and Egress blocked
NSA,C-0034,Automatic mapping of service account
NSA,C-0035,Cluster-admin binding
NSA,C-0038,Host PID/IPC privileges
NSA,C-0041,HostNetwork access
NSA,C-0044,Container hostPort
NSA,C-0046,Insecure capabilities
NSA,C-0054,Cluster internal networking
NSA,C-0055,Linux hardening
NSA,C-0057,Privileged container
NSA,C-0058,CVE-2021-25741 - Using symlink for arbitrary host file system access.
NSA,C-0059,CVE-2021-25742-nginx-ingress-snippet-annotation-vulnerability
NSA,C-0066,Secret/ETCD encryption enabled
NSA,C-0067,Audit logs enabled
NSA,C-0068,PSP enabled
NSA,C-0069,Disable anonymous access to Kubelet service
NSA,C-0070,Enforce Kubelet client TLS authentication
MITRE,C-0002,Exec into container
MITRE,C-0007,Data Destruction
MITRE,C-0012,Applications credentials in configuration files
MITRE,C-0014,Access Kubernetes dashboard
MITRE,C-0015,List Kubernetes secrets
MITRE,C-0020,Mount service principal
MITRE,C-0021,Exposed sensitive interfaces
MITRE,C-0026,Kubernetes CronJob
MITRE,C-0031,Delete Kubernetes events
MITRE,C-0035,Cluster-admin binding
MITRE,C-0036,Malicious admission controller (validating)
MITRE,C-0037,CoreDNS poisoning
MITRE,C-0039,Malicious admission controller (mutating)
MITRE,C-0042,SSH server running inside container
MITRE,C-0045,Writable hostPath mount
MITRE,C-0048,HostPath mount
MITRE,C-0052,Instance Metadata API
MITRE,C-0053,Access container service account
MITRE,C-0054,Cluster internal networking
MITRE,C-0057,Privileged container
MITRE,C-0058,CVE-2021-25741 - Using symlink for arbitrary host file system access.
MITRE,C-0059,CVE-2021-25742-nginx-ingress-snippet-annotation-vulnerability
MITRE,C-0066,Secret/ETCD encryption enabled
MITRE,C-0067,Audit logs enabled
MITRE,C-0068,PSP enabled
MITRE,C-0069,Disable anonymous access to Kubelet service
MITRE,C-0070,Enforce Kubelet client TLS authentication
DevOpsBest,C-0004,Resources memory limit and request
DevOpsBest,C-0018,Configured readiness probe
DevOpsBest,C-0044,Container hostPort
DevOpsBest,C-0050,Resources CPU limit and request
DevOpsBest,C-0056,Configured liveness probe
DevOpsBest,C-0061,Pods in default namespace
DevOpsBest,C-0073,Naked PODs
DevOpsBest,C-0074,Containers mounting Docker socket
DevOpsBest,C-0075,Image pull policy on latest tag
DevOpsBest,C-0076,Label usage for resources
DevOpsBest,C-0077,K8s common labels usage
AllControls,C-0001,Forbidden Container Registries
AllControls,C-0002,Exec into container
AllControls,C-0004,Resources memory limit and request
AllControls,C-0005,API server insecure port is enabled
AllControls,C-0007,Data Destruction
AllControls,C-0009,Resource limits
AllControls,C-0012,Applications credentials in configuration files
AllControls,C-0013,Non-root containers
AllControls,C-0014,Access Kubernetes dashboard
AllControls,C-0015,List Kubernetes secrets
AllControls,C-0016,Allow privilege escalation
AllControls,C-0017,Immutable container filesystem
AllControls,C-0018,Configured readiness probe
AllControls,C-0020,Mount service principal
AllControls,C-0021,Exposed sensitive interfaces
AllControls,C-0026,Kubernetes CronJob
AllControls,C-0030,Ingress and Egress blocked
AllControls,C-0031,Delete Kubernetes events
AllControls,C-0034,Automatic mapping of service account
AllControls,C-0035,Cluster-admin binding
AllControls,C-0036,Malicious admission controller (validating)
AllControls,C-0038,Host PID/IPC privileges
AllControls,C-0039,Malicious admission controller (mutating)
AllControls,C-0041,HostNetwork access
AllControls,C-0042,SSH server running inside container
AllControls,C-0044,Container hostPort
AllControls,C-0045,Writable hostPath mount
AllControls,C-0046,Insecure capabilities
AllControls,C-0048,HostPath mount
AllControls,C-0049,Network mapping
AllControls,C-0050,Resources CPU limit and request
AllControls,C-0052,Instance Metadata API
AllControls,C-0053,Access container service account
AllControls,C-0054,Cluster internal networking
AllControls,C-0055,Linux hardening
AllControls,C-0056,Configured liveness probe
AllControls,C-0057,Privileged container
AllControls,C-0058,CVE-2021-25741 - Using symlink for arbitrary host file system access.
AllControls,C-0059,CVE-2021-25742-nginx-ingress-snippet-annotation-vulnerability
AllControls,C-0061,Pods in default namespace
AllControls,C-0062,Sudo in container entrypoint
AllControls,C-0063,Portforwarding privileges
AllControls,C-0065,No impersonation
AllControls,C-0066,Secret/ETCD encryption enabled
AllControls,C-0067,Audit logs enabled
AllControls,C-0068,PSP enabled
AllControls,C-0069,Disable anonymous access to Kubelet service
AllControls,C-0070,Enforce Kubelet client TLS authentication
AllControls,C-0073,Naked PODs
AllControls,C-0074,Containers mounting Docker socket
AllControls,C-0075,Image pull policy on latest tag
AllControls,C-0076,Label usage for resources
AllControls,C-0077,K8s common labels usage
AllControls,C-0078,Images from allowed registry
AllControls,C-0079,CVE-2022-0185-linux-kernel-container-escape
AllControls,C-0081,CVE-2022-24348-argocddirtraversal
AllControls,C-0083,Workloads with Critical vulnerabilities exposed to external traffic
AllControls,C-0084,Workloads with RCE vulnerabilities exposed to external traffic
AllControls,C-0085,Workloads with excessive amount of vulnerabilities
AllControls,C-0086,CVE-2022-0492-cgroups-container-escape
AllControls,C-0087,CVE-2022-23648-containerd-fs-escape
AllControls,C-0088,RBAC enabled
AllControls,C-0090,CVE-2022-39328-grafana-auth-bypass
AllControls,C-0091,CVE-2022-47633-kyverno-signature-bypass
