ControlID,RuleName
C-0149,ensure-that-the-controller-manager-RotateKubeletServerCertificate-argument-is-set-to-true
C-0018,configured-readiness-probe
C-0088,rbac-enabled-cloud
C-0088,rbac-enabled-native
C-0138,ensure-that-the-api-server-tls-cert-file-and-tls-private-key-file-arguments-are-set-as-appropriate
C-0099,ensure-that-the-etcd-pod-specification-file-ownership-is-set-to-root-root
C-0041,host-network-access
C-0081,CVE-2022-24348
C-0174,enforce-kubelet-client-tls-authentication-updated
C-0076,label-usage-for-resources
C-0039,list-all-mutating-webhooks
C-0066,secret-etcd-encryption-cloud
C-0066,etcd-encryption-native
C-0167,ensure-that-the-kubeconfig-kubelet.conf-file-ownership-is-set-to-root-root
C-0207,rule-secrets-in-env-var
C-0210,set-seccomp-profile-RuntimeDefault
C-0106,ensure-that-the-scheduler.conf-file-permissions-are-set-to-600-or-more-restrictive
C-0055,linux-hardening
C-0121,ensure-that-the-admission-control-plugin-EventRateLimit-is-set
C-0068,psp-enabled-cloud
C-0068,psp-enabled-native
C-0232,review-roles-with-aws-iam-authenticator
C-0123,ensure-that-the-admission-control-plugin-AlwaysPullImages-is-set
C-0235,ensure-that-the-kubelet-configuration-file-has-permissions-set-to-644-or-more-restrictive
C-0190,automount-service-account
C-0216,psp-deny-hostnetwork
C-0203,pod-security-admission-baseline-applied
C-0220,psp-required-drop-capabilities
C-0004,resources-memory-limit-and-request
C-0042,rule-can-ssh-to-pod
C-0042,rule-can-ssh-to-pod-v1
C-0097,ensure-that-the-scheduler-pod-specification-file-ownership-is-set-to-root-root
C-0059,nginx-ingress-snippet-annotation-vulnerability
C-0218,psp-deny-root-container
C-0054,internal-networking
C-0219,psp-deny-allowed-capabilities
C-0215,psp-deny-hostipc
C-0110,ensure-that-the-Kubernetes-PKI-directory-and-file-ownership-is-set-to-root-root
C-0132,ensure-that-the-api-server-audit-log-maxbackup-argument-is-set-to-10-or-as-appropriate
C-0154,etcd-client-auth-cert
C-0083,exposed-critical-pods
C-0046,insecure-capabilities
C-0092,ensure-that-the-API-server-pod-specification-file-permissions-are-set-to-600-or-more-restrictive
C-0234,ensure-external-secrets-storage-is-in-use
C-0168,ensure-that-the-certificate-authorities-file-permissions-are-set-to-600-or-more-restrictive
C-0053,access-container-service-account
C-0053,access-container-service-account-v1
C-0136,ensure-that-the-api-server-service-account-key-file-argument-is-set-as-appropriate
C-0104,ensure-that-the-admin.conf-file-permissions-are-set-to-600
C-0014,rule-access-dashboard
C-0014,rule-access-dashboard-subject-v1
C-0014,rule-access-dashboard-wl-v1
C-0065,rule-can-impersonate-users-groups
C-0065,rule-can-impersonate-users-groups-v1
C-0153,etcd-tls-enabled
C-0191,rule-can-bind-escalate
C-0191,rule-can-impersonate-users-groups-v1
C-0227,ensure-endpointprivateaccess-is-enabled
C-0165,if-proxy-kubeconfig-file-exists-ensure-ownership-is-set-to-root-root
C-0057,rule-privilege-escalation
C-0147,ensure-that-the-controller-manager-service-account-private-key-file-argument-is-set-as-appropriate
C-0129,ensure-that-the-api-server-profiling-argument-is-set-to-false
C-0073,naked-pods
C-0170,if-the-kubelet-config.yaml-configuration-file-is-being-used-validate-permissions-set-to-600-or-more-restrictive
C-0067,k8s-audit-logs-enabled-cloud
C-0067,k8s-audit-logs-enabled-native
C-0007,rule-excessive-delete-rights
C-0007,rule-excessive-delete-rights-v1
C-0208,external-secret-storage
C-0213,psp-deny-privileged-container
C-0137,ensure-that-the-api-server-etcd-certfile-and-etcd-keyfile-arguments-are-set-as-appropriate
C-0176,kubelet-streaming-connection-idle-timeout
C-0159,etcd-unique-ca
C-0177,kubelet-protect-kernel-defaults
C-0212,pods-in-default-namespace
C-0212,resources-notpods-in-default-namespace
C-0200,pod-security-admission-restricted-applied
C-0020,alert-mount-potential-credentials-paths
C-0231,ensure-https-loadbalancers-encrypted-with-tls-aws
C-0105,ensure-that-the-admin.conf-file-ownership-is-set-to-root-root
C-0141,ensure-that-the-api-server-encryption-provider-config-argument-is-set-as-appropriate
C-0163,ensure-that-the-kubelet-service-file-ownership-is-set-to-root-root
C-0150,ensure-that-the-controller-manager-bind-address-argument-is-set-to-127.0.0.1
C-0202,pod-security-admission-baseline-applied
C-0098,ensure-that-the-etcd-pod-specification-file-permissions-are-set-to-600-or-more-restrictive
C-0173,kubelet-authorization-mode-alwaysAllow
C-0186,rule-can-list-get-secrets-v1
C-0120,ensure-that-the-api-server-authorization-mode-argument-includes-RBAC
C-0127,ensure-that-the-admission-control-plugin-NodeRestriction-is-set
C-0001,rule-identify-blocklisted-image-registries
C-0209,list-all-namespaces
C-0058,Symlink-Exchange-Can-Allow-Host-Filesystem-Access
C-0107,ensure-that-the-scheduler.conf-file-ownership-is-set-to-root-root
C-0075,image-pull-policy-is-not-set-to-always
C-0139,ensure-that-the-api-server-client-ca-file-argument-is-set-as-appropriate
C-0056,configured-liveness-probe
C-0171,ensure-that-the-kubelet-configuration-file-ownership-is-set-to-root-root
C-0050,resources-cpu-limit-and-request
C-0009,resource-policies
C-0195,pod-security-admission-baseline-applied
C-0211,rule-privilege-escalation
C-0211,immutable-container-filesystem
C-0211,non-root-containers
C-0211,drop-capability-netraw
C-0211,set-seLinuxOptions
C-0211,set-seccomp-profile
C-0044,container-hostPort
C-0030,ingress-and-egress-blocked
C-0034,automount-service-account
C-0079,CVE-2022-0185
C-0045,alert-rw-hostpath
C-0178,kubelet-ip-tables
C-0117,ensure-that-the-api-server-kubelet-certificate-authority-argument-is-set-as-appropriate
C-0089,CVE-2022-3172
C-0188,rule-can-create-pod
C-0157,etcd-peer-client-auth-cert
C-0146,ensure-that-the-controller-manager-use-service-account-credentials-argument-is-set-to-true
C-0169,ensure-that-the-client-certificate-authorities-file-ownership-is-set-to-root-root
C-0094,ensure-that-the-controller-manager-pod-specification-file-permissions-are-set-to-600-or-more-restrictive
C-0124,ensure-that-the-admission-control-plugin-SecurityContextDeny-is-set-if-PodSecurityPolicy-is-not-used
C-0069,anonymous-requests-to-kubelet-service-updated
C-0223,ensure_nodeinstancerole_has_only_readonly_permissions_for_ecr
C-0048,alert-any-hostpath
C-0133,ensure-that-the-api-server-audit-log-maxsize-argument-is-set-to-100-or-as-appropriate
C-0096,ensure-that-the-scheduler-pod-specification-file-permissions-are-set-to-600-or-more-restrictive
C-0126,ensure-that-the-admission-control-plugin-NamespaceLifecycle-is-set
C-0002,exec-into-container
C-0002,exec-into-container-v1
C-0031,rule-can-delete-k8s-events
C-0031,rule-can-delete-k8s-events-v1
C-0017,immutable-container-filesystem
C-0131,ensure-that-the-api-server-audit-log-maxage-argument-is-set-to-30-or-as-appropriate
C-0095,ensure-that-the-controller-manager-pod-specification-file-ownership-is-set-to-root-root
C-0221,ensure-image-scanning-enabled-cloud
C-0070,enforce-kubelet-client-tls-authentication
C-0185,cluster-admin-role
C-0142,ensure-that-the-api-server-encryption-providers-are-appropriately-configured
C-0189,automount-default-service-account
C-0189,namespace-without-service-account
C-0217,psp-deny-allowprivilegeescalation
C-0082,read-only-port-enabled
C-0197,pod-security-admission-restricted-applied
C-0049,internal-networking
C-0233,alert-fargate-not-in-use
C-0116,ensure-that-the-api-server-kubelet-client-certificate-and-kubelet-client-key-arguments-are-set-as-appropriate
C-0228,ensure-endpointprivateaccess-is-enabled-and-endpointpublicaccess-is-disabled-eks
C-0063,rule-can-portforward
C-0063,rule-can-portforward-v1
C-0062,sudo-in-container-entrypoint
C-0135,ensure-that-the-api-server-service-account-lookup-argument-is-set-to-true
C-0182,kubelet-rotate-certificates
C-0230,ensure-network-policy-is-enabled-eks
C-0196,pod-security-admission-baseline-applied
C-0125,ensure-that-the-admission-control-plugin-ServiceAccount-is-set
C-0145,ensure-that-the-controller-manager-profiling-argument-is-set-to-false
C-0161,audit-policy-content
C-0238,Ensure-that-the-kubeconfig-file-permissions-are-set-to-644-or-more-restrictive
C-0102,ensure-that-the-etcd-data-directory-permissions-are-set-to-700-or-more-restrictive
C-0103,ensure-that-the-etcd-data-directory-ownership-is-set-to-etcd-etcd
C-0005,insecure-port-flag
C-0115,ensure-that-the-api-server-DenyServiceExternalIPs-is-not-set
C-0052,instance-metadata-api-access
C-0155,etcd-auto-tls-disabled
C-0180,kubelet-event-qps
C-0013,non-root-containers
C-0015,rule-can-list-get-secrets
C-0015,rule-can-list-get-secrets-v1
C-0206,internal-networking
C-0172,anonymous-requests-to-kubelet-service-updated
C-0061,pods-in-default-namespace
C-0166,ensure-that-the-kubeconfig-kubelet.conf-file-permissions-are-set-to-600-or-more-restrictive
C-0093,ensure-that-the-API-server-pod-specification-file-ownership-is-set-to-root-root
C-0192,pod-security-admission-applied
C-0194,pod-security-admission-baseline-applied
C-0151,ensure-that-the-scheduler-profiling-argument-is-set-to-false
C-0225,ensure-default-service-accounts-has-only-default-roles
C-0225,automount-default-service-account
C-0118,ensure-that-the-api-server-authorization-mode-argument-is-not-set-to-AlwaysAllow
C-0086,CVE-2022-0492
C-0036,list-all-validating-webhooks
C-0037,rule-can-update-configmap
C-0037,rule-can-update-configmap-v1
C-0074,containers-mounting-docker-socket
C-0113,ensure-that-the-api-server-anonymous-auth-argument-is-set-to-false
C-0016,rule-allow-privilege-escalation
C-0100,ensure-that-the-Container-Network-Interface-file-permissions-are-set-to-600-or-more-restrictive
C-0114,ensure-that-the-api-server-token-auth-file-parameter-is-not-set
C-0101,ensure-that-the-Container-Network-Interface-file-ownership-is-set-to-root-root
C-0143,ensure-that-the-API-Server-only-makes-use-of-Strong-Cryptographic-Ciphers
C-0112,ensure-that-the-Kubernetes-PKI-key-file-permissions-are-set-to-600
C-0187,rule-list-all-cluster-admins-v1
C-0236,verify-image-signature
C-0012,rule-credentials-in-env-var
C-0012,rule-credentials-configmap
C-0193,pod-security-admission-baseline-applied
C-0119,ensure-that-the-api-server-authorization-mode-argument-includes-Node
C-0144,ensure-that-the-controller-manager-terminated-pod-gc-threshold-argument-is-set-as-appropriate
C-0226,alert-container-optimized-os-not-in-use
C-0148,ensure-that-the-controller-manager-root-ca-file-argument-is-set-as-appropriate
C-0078,container-image-repository
C-0214,psp-deny-hostpid
